timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
1746731758.1019633,-3518.209280754242,-3398.5603926849835,-3192.276143106955,-3187.8057942158935,-61246.12674070916,-24674.180111191286,-59853.2777849767,-49960.95448266918,-3479.0043209796336,-3287.2487052975544,-3667.6083406935145,-3521.606745911449,-67155.43623631433,-57127.52725214091,-67272.53702551569,-53987.80006024839
1746731758.1020455,-6288.663302500642,-6673.917969932315,-6493.584095666897,-6526.731732694117,-122669.07813180426,-49484.99643623787,-119929.00013077262,-100201.10460532959,-6657.377679035388,-6914.3109815491425,-6837.2421666672435,-6666.586597750974,-132283.30102959884,-113269.34257380279,-132402.21231010108,-105846.19412972858
1746731758.1020548,-6777.607712460484,-6799.020683648669,-6431.826225736884,-6474.272188457512,-122521.2213422324,-49379.89853380901,-119761.7196752691,-100007.29262915763,-6510.169090052735,-6369.934245340139,-6913.3722082820195,-6666.765411706617,-132243.89490412414,-112970.65621264651,-132485.58431691938,-105925.006380678
1746731758.1020632,-6361.462934191577,-6677.851876956449,-6482.14000250578,-6505.028188828014,-122654.41538744156,-49472.814735509724,-119908.16830494026,-100173.38844220502,-6662.987966893669,-6973.878380522536,-6837.309221900609,-6684.065661915024,-132275.70143648403,-113297.99751019449,-132392.35519079628,-105839.77917906991
1746731758.1020708,-6700.807118512049,-6795.354997557998,-6447.695964300152,-6501.027226570514,-122534.23005750538,-49392.37080721508,-119781.56802434541,-100035.56758589359,-6505.43052022821,-6320.939221494105,-6909.237135557787,-6648.481684742175,-132247.85116289274,-112945.75636932331,-132490.3228867439,-105927.12979640125
1746731758.1020787,-6451.60751957983,-6689.94417070677,-6473.847505312861,-6487.057386285947,-122640.91493379057,-49461.79532549326,-119888.14114190832,-100145.49346512479,-6666.027804139591,-7014.357389731096,-6842.248957425232,-6702.617609812929,-132269.95703815902,-113317.66704531516,-132388.33187679434,-105838.88510929169
1746731758.1020863,-6611.556602902008,-6785.252009064199,-6461.777563306995,-6524.787130926506,-122548.93750535698,-49404.48545270985,-119803.13745774479,-100065.22835078578,-6509.006799341059,-6296.8663927157395,-6905.660856444938,-6634.377733990877,-132255.96484613,-112935.54162210724,-132494.86029086832,-105929.02969467995
1746731758.1020937,-6547.541206782009,-6704.383397624898,-6464.124496474802,-6468.773659321507,-122623.21235218196,-49447.378450319586,-119863.93420266322,-100113.28460136469,-6660.752792448139,-7027.589622448639,-6846.182864449366,-6715.80513904156,-132260.3681397877,-113321.42213838366,-132384.82265291485,-105838.03574300239
1746731758.102101,-6525.7929594269945,-6779.395852016909,-6483.5258106620095,-6553.889102207316,-122573.39031379108,-49423.77500817478,-119833.781699393,-100103.24866810426,-6520.607354713364,-6297.782814238408,-6903.090405832578,-6625.1688152752895,-132267.09601486876,-112939.49788087582,-132498.0789420699,-105930.32609585836
1746731758.1021087,-6644.368963762398,-6721.750703066672,-6454.580301592387,-6452.948624247149,-122602.76050600536,-49431.82163617869,-119837.55914420595,-100079.55581898164,-6654.784876678572,-7020.280602011753,-6856.799943065637,-6730.914918293348,-132255.33899728526,-113316.12477494775,-132389.33770529483,-105844.3836384277
