timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
1746729658.2113929,-68208.53867632612,-14897.6164934178,-44182.447395616466,-13584.87618981316,-90422.68579276631,-26110.68202384496,-92253.8301055229,-77793.92782377337,-71021.93039917116,-72341.06330169002,-56815.51925128928,-46266.009958506824,-93750.01117587223,-93750.01117587223,-93750.01117587223,-87773.48998468995
1746729658.6903925,-136210.39077167402,-29682.82606396986,-88388.58764035554,-27150.9098590505,-180968.10501433673,-52291.52617353513,-184621.7211630012,-155696.0380907104,-136524.6786504601,-140169.51056355366,-109033.08350242181,-88085.92266868624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172874.06896043647
1746729658.6904993,-136036.42714457837,-29710.631634072262,-88430.2736437647,-27251.20213642146,-180964.72990092397,-52221.11817850092,-184666.51405888965,-155771.38582126927,-136425.99569868992,-139361.22678056083,-109094.1484682737,-87894.45762568207,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172952.7247491747
1746729658.6905084,-136275.0767201277,-29699.992203711536,-88373.50021284822,-27130.525068107258,-180954.3139880078,-52282.5407722641,-184601.11285461343,-155660.92350017113,-136504.29385951685,-140114.63703091588,-109030.98243844301,-88072.84689817988,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172878.4051988608
1746729658.6905165,-135956.18438198383,-29690.20213964011,-88441.29305378116,-27258.667619069533,-181000.76091298592,-52219.86648081142,-184708.82591114353,-155807.66270252023,-136438.44562035153,-139389.23351636334,-109078.65870936618,-87883.12529124324,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172946.1756880493
1746729658.690524,-136330.86667428812,-29712.866808517792,-88355.39529983942,-27106.340480606614,-180935.29265347632,-52264.45821099976,-184574.78249964508,-155617.8740403502,-136482.09857727273,-140036.38357357783,-109031.94356345458,-88053.19971480366,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172881.7132570402
1746729658.6905322,-135885.12818636038,-29665.123482361258,-88443.7293939268,-27252.766758533333,-181025.50429409795,-52213.29506794156,-184735.06685913407,-155824.53826958398,-136447.81100127829,-139438.0720779982,-109057.0445724779,-87872.39645390469,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172927.62374015138
1746729658.6905398,-136378.92292486705,-29727.84247730285,-88341.53721827712,-27087.565015264157,-180918.61825211268,-52245.995670079676,-184551.69314762275,-155579.69726082054,-136457.28814092735,-139940.1816654422,-109032.83763323279,-88026.73524936859,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172882.54027158502
1746729658.6905475,-135841.1623050168,-29649.410206009175,-88446.05397535015,-27246.172993919015,-181050.00180602097,-52213.65269585284,-184757.73152801176,-155836.89878426777,-136463.0101875079,-139514.73856147987,-109039.99019145849,-87874.29635218339,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172910.90463529882
1746729658.690555,-136414.1939776175,-29743.93573331067,-88331.5012850167,-27076.523253503234,-180905.2966124173,-52230.19298674977,-184534.32584218096,-155551.62346978468,-136437.46214359548,-139836.73779210303,-109039.90078448068,-88002.64006884577,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172889.69282981072
1746729658.690563,-135818.43058090576,-29638.48020297053,-88445.04814684966,-27235.064176924727,-181067.95025681859,-52216.49136739867,-184770.33791188456,-155839.11160696886,-136478.45524292652,-139609.197033548,-109024.96981918452,-87884.28758195491,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172895.28076592454
1746729658.6905708,-136429.16964640256,-29756.69857939465,-88323.81228492408,-27071.15883483396,-180894.7465890344,-52214.36795167541,-184521.98767924163,-155531.57395500827,-136416.11622764065,-139725.13553203768,-109045.60047931678,-87974.1639464097,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172895.63839383583
1746729658.6905785,-135814.76489481507,-29629.83007786633,-88436.59918744555,-27217.406298805035,-181076.8909546007,-52218.95005928875,-184772.2154584188,-155828.89685975277,-136489.3181907318,-139710.3386772083,-109008.29541782087,-87897.0951315278,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172878.18168141626
1746729658.6905918,-136422.37471608815,-29765.326352754397,-88319.05136335509,-27072.03055286772,-180887.54932731978,-52198.788785790064,-184516.13152219434,-155520.0628066138,-136396.46904426446,-139611.0969318267,-109050.38375263021,-87943.05031812792,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172901.3604404164
1746729658.6905992,-135833.07097352398,-29627.684310398618,-88426.94323384085,-27198.407316018023,-181080.8472133693,-52225.2756029696,-184766.7616327717,-155811.26133337754,-136496.7166181465,-139810.72036155706,-108993.29739729136,-87912.02609682395,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172861.7978527305
1746729658.6906068,-136396.0890646087,-29770.13197781229,-88320.03484011113,-27079.98777389381,-180890.00801920987,-52188.26111415162,-184522.32295540845,-155523.34851304872,-136380.55460221227,-139505.2390700864,-109053.75886604296,-87911.91433810168,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172907.75303933062
1746729658.6906192,-135870.7783664201,-29630.299464499887,-88412.70517262282,-27177.061400063205,-181077.82972786782,-52231.779960606094,-184752.88119946496,-155785.8697516763,-136502.03633332686,-139904.19535686917,-108980.95923435203,-87929.77338192146,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172849.79496595802
1746729658.6906264,-136351.02794778682,-29770.020219090013,-88324.30402330209,-27092.862378700065,-180898.32286814725,-52179.83450649196,-184536.22574045966,-155537.38540856665,-136368.08232880622,-139410.28885964025,-109053.55770034286,-87880.51013714196,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172912.58101613296
1746729658.690634,-135925.27191940212,-29637.720243659052,-88397.12600673748,-27153.122681751574,-181069.26900974143,-52238.06080079804,-184731.73644921024,-155754.01851582748,-136501.87987111567,-139980.70537813968,-108970.54332143585,-87944.88316117325,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172838.97672164164
1746729658.6906414,-136286.87844120007,-29762.062998063924,-88329.28846231563,-27104.12765790554,-180910.3034031753,-52171.407898832316,-184554.308301724,-155557.6584407876,-136359.5886659132,-139332.52714068023,-109050.69667705259,-87850.3352821273,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172914.83854232295
1746729658.690649,-135989.46612947778,-29644.850450140293,-88373.83548901505,-27121.874943003055,-181051.54407638838,-52239.267794998625,-184700.9357453508,-155713.62891359674,-136493.85559485623,-140034.1036956434,-108959.21098699702,-87953.66739674419,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172826.1915238132
1746729658.6906564,-136212.648297864,-29751.758843870026,-88337.53625601962,-27118.499829590302,-180929.7494208514,-52169.95503544272,-184580.9292293703,-155590.51550513692,-136352.70432862095,-139275.5748958081,-109041.24188914799,-87820.11572362372,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172912.04457426604
1746729658.6906643,-136070.1782787059,-29660.742540448016,-88355.26118937269,-27093.041192655706,-181034.89202676917,-52242.82172236702,-184669.37508217993,-155672.85933171026,-136485.98778080795,-140066.84900127043,-108955.90292881762,-87962.33987359285,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172821.5870644554
1746729658.6906717,-136135.15479983744,-29738.683073363674,-88348.73447999173,-27130.860344274086,-180955.38687174165,-52169.351538342424,-184612.75811347464,-155627.35117999927,-136355.52064842233,-139247.97049140578,-109034.17873790012,-87798.05455184633,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172907.73068758615
1746729658.690679,-136149.68343373341,-29674.95824992159,-88330.6519187274,-27060.92173587343,-181010.86390147972,-52238.843111853974,-184632.3382416175,-155624.84778462027,-136470.8556498117,-140068.74889954913,-108952.5725188938,-87963.25629511551,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172816.3344045084
1746729658.6906865,-136053.39211861993,-29721.159305710713,-88356.84816322902,-27140.449242645413,-180981.62781973218,-52170.22325637618,-184645.6375295684,-155665.05857289536,-136356.86175308964,-139242.38255529196,-109019.04660690387,-87776.57452542479,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172896.5101118696
1746729658.6906939,-136234.19537951893,-29698.718154277583,-88315.49743598669,-27039.397005962972,-180993.98833441598,-52241.234748510695,-184603.39273254786,-155584.7711068119,-136455.76822230438,-140045.5477888045,-108955.88057707317,-87961.3116933479,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172818.1895992982
1746729658.6907012,-135976.47976594922,-29702.07091594588,-88364.11248017699,-27146.931248537454,-181009.61220379022,-52173.17368664428,-184677.9358003063,-155699.03322446742,-136370.16104104056,-139271.6633405284,-109008.96597015453,-87768.79611835434,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172889.2010914327
1746729658.6907132,-136301.47413032938,-29712.375070139777,-88290.4858339412,-27012.261988194226,-180966.87566839167,-52230.68472512779,-184565.79709837402,-155535.61962075467,-136429.70608826948,-139987.790881132,-108952.90779506062,-87945.26314082899,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172814.7474306521
1746729658.6907206,-135910.2291953837,-29683.988354681536,-88370.03569245765,-27151.33454219515,-181036.14372445867,-52177.59933204643,-184705.56255645308,-155725.83296606934,-136378.31942776675,-139320.65836437445,-108989.49760073396,-87759.58719963876,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172872.12435866887
1746729658.690728,-136369.13286079562,-29735.419718673198,-88278.68411286881,-26997.39807813145,-180950.73770889494,-52225.94615530326,-184539.06441200548,-155495.63234992413,-136410.72945722693,-139912.35374359533,-108960.32857421978,-87930.62274821076,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172819.77657315452
1746729658.6907353,-135860.0271773371,-29666.241069584023,-88372.22616341426,-27147.579449126657,-181060.82005033732,-52182.494364082144,-184727.51196950817,-155740.87569008776,-136394.07740760772,-139399.91765021297,-108975.90774010513,-87762.73879560696,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172855.74052998313
1746729658.6907444,-136411.13178862713,-29752.049416547947,-88266.12243248492,-26986.53513032617,-180936.3655372102,-52217.56425113252,-184520.06542921846,-155466.01628852086,-136386.8801458931,-139815.25776568148,-108964.70951613302,-87906.50521594349,-187500.02235174447,-187500.02235174447,-187500.02235174447,-172823.5540179675
